control : 0.9854127074463577 , a_p : 6.401493787765503 1.401493787765503
control : 5.810840688777734 , a_p : 4.752307891845703 -0.24769210815429688
control : 3.6645580654176424 , a_p : 5.153790891170502 0.1537908911705017
control : 6.771374340208503 , a_p : 4.453708827495575 -0.546291172504425
control : 2.681808094519507 , a_p : 5.39688715338707 0.3968871533870697
control : 5.949583637519456 , a_p : 4.481588304042816 -0.5184116959571838
control : 3.0567504435128203 , a_p : 5.457910239696503 0.4579102396965027
control : 6.699141983488097 , a_p : 4.017957627773285 -0.9820423722267151
control : 2.8635413313562808 , a_p : 4.965292777866125 -0.03470722213387489
control : 4.5715736889811165 , a_p : 4.379017889499664 -0.6209821105003357
control : 2.1726142921867915 , a_p : 4.945502769201994 -0.05449723079800606
control : 4.033048873279757 , a_p : 4.2917298674583435 -0.7082701325416565
control : -0.7934263008050095 , a_p : 5.5982343554496765 0.5982343554496765
control : 2.6603862782274295 , a_p : 4.594062000513077 -0.4059379994869232
control : -0.041137346070062364 , a_p : 5.348137557506561 0.3481375575065613
control : 3.3995713019910134 , a_p : 4.617178380489349 -0.38282161951065063
control : -0.36275066220328966 , a_p : 5.615754187107086 0.6157541871070862
control : 2.1276747681873314 , a_p : 5.065808095037937 0.06580809503793716
control : -1.4042580535758482 , a_p : 6.3985971212387085 1.3985971212387085
control : 2.9799162312403524 , a_p : 5.247506096959114 0.24750609695911407
control : 2.1669056215822327 , a_p : 5.430257737636566 0.43025773763656616
control : 5.626739989678942 , a_p : 4.20682692527771 -0.79317307472229
control : 2.191389354539222 , a_p : 4.727725327014923 -0.2722746729850769
control : 5.4018816325702375 , a_p : 3.6634591817855835 -1.3365408182144165
control : 0.31804358326988513 , a_p : 4.666762173175812 -0.33323782682418823
control : 2.6691545021429057 , a_p : 4.025001347064972 -0.9749986529350281
control : -1.639099661175253 , a_p : 5.3787000477313995 0.37870004773139954
control : -1.7254900374139641 , a_p : 5.542917311191559 0.5429173111915588
control : 2.1889324349383017 , a_p : 4.371517837047577 -0.6284821629524231
control : -2.2827499623845124 , a_p : 5.331242769956589 0.33124276995658875
control : 0.7811023509080286 , a_p : 5.16537506878376 0.16537506878376007
control : -1.6137657411191721 , a_p : 6.153021693229675 1.1530216932296753
control : 2.879814426712981 , a_p : 4.931798607110977 -0.06820139288902283
control : 0.5352717077629912 , a_p : 5.876334965229034 0.8763349652290344
control : 1.9262029713362878 , a_p : 5.511737942695618 0.5117379426956177
control : 8.157071816932783 , a_p : 4.273619115352631 -0.7263808846473694
control : 3.7660688620619016 , a_p : 4.944263152778149 -0.05573684722185135
control : 3.2747373024315145 , a_p : 4.882330343127251 -0.11766965687274933
control : 5.772866781407375 , a_p : 4.342755496501923 -0.6572445034980774
control : 8.996045448620812 , a_p : 3.676515221595764 -1.3234847784042358
control : 1.6019895854336852 , a_p : 5.041117303073406 0.04111730307340622
