control : 3.1036810692561696 , a_p : 5.25884822010994 0.2588482201099396
control : 3.54156119347123 , a_p : 4.95352129638195 -0.04647870361804962
control : 3.5299623766116195 , a_p : 4.798006385564804 -0.20199361443519592
control : 1.8471593796431192 , a_p : 5.590401113033295 0.5904011130332947
control : 2.168162114800473 , a_p : 5.2598094046115875 0.2598094046115875
control : 2.7900581752408016 , a_p : 4.845113709568977 -0.15488629043102264
control : 2.2609902520886553 , a_p : 4.868782922625542 -0.1312170773744583
control : 1.2806592569037765 , a_p : 4.864488184452057 -0.13551181554794312
control : 1.2693027735892812 , a_p : 4.757769346237183 -0.24223065376281738
control : 1.4295539599866576 , a_p : 4.429516911506653 -0.5704830884933472
control : 0.4923671917868191 , a_p : 4.557388603687286 -0.4426113963127136
control : -1.4269909062713602 , a_p : 5.09493014216423 0.09493014216423035
control : -0.811854194568518 , a_p : 4.542272627353668 -0.4577273726463318
control : -2.3040945767796783 , a_p : 5.031890865415335 0.0318908654153347
control : -3.5320098512486697 , a_p : 5.123390354216099 0.12339035421609879
control : -2.2985920826506057 , a_p : 5.523182272911072 0.5231822729110718
control : -0.7500425643733784 , a_p : 5.2715804278850555 0.27158042788505554
control : 0.40888659647321735 , a_p : 5.334158509969711 0.3341585099697113
control : 0.34026705379598043 , a_p : 5.917286276817322 0.9172862768173218
control : 2.0635843046744347 , a_p : 5.290374308824539 0.2903743088245392
control : 3.928127485703653 , a_p : 4.811887264251709 -0.18811273574829102
control : 3.37199821296742 , a_p : 5.119313150644302 0.11931315064430237
control : 3.3424647011726867 , a_p : 4.756913289427757 -0.24308671057224274
control : 2.659247643083594 , a_p : 5.045313261449337 0.045313261449337006
control : 4.748202502635101 , a_p : 4.193273723125458 -0.8067262768745422
control : 2.2403122503495343 , a_p : 5.122214846313 0.12221484631299973
control : 1.4794795183851495 , a_p : 4.435516893863678 -0.564483106136322
control : 2.675253586999796 , a_p : 4.404450833797455 -0.5955491662025452
control : 1.167665328887292 , a_p : 4.376104652881622 -0.6238953471183777
control : 0.2869498732941125 , a_p : 4.806752249598503 -0.1932477504014969
control : -0.24194415106233258 , a_p : 4.967773012816906 -0.032226987183094025
control : -1.602619122067427 , a_p : 5.5966885685920715 0.5966885685920715
control : -2.202213113452748 , a_p : 5.712479770183563 0.7124797701835632
control : -1.3076625375002058 , a_p : 5.4110903441905975 0.41109034419059753
control : -0.8336817943796886 , a_p : 5.822685360908508 0.8226853609085083
control : 0.9076012133698343 , a_p : 5.185954704880714 0.18595470488071442
control : 2.3067556056281187 , a_p : 4.8280158042907715 -0.17198419570922852
control : 2.7230051834711233 , a_p : 5.1744203716516495 0.17442037165164948
control : 2.4167656163913662 , a_p : 5.3731749355793 0.3731749355792999
control : 2.6913211046110375 , a_p : 5.0623582154512405 0.06235821545124054
control : 3.8874838551141826 , a_p : 4.891913585364819 -0.10808641463518143
